,Player,playerId,teamId,2K17,2K16,abbreviation
65,LaMarcus Aldridge,200746,1610612759,88.0,88.0,SAS
66,Kyle Anderson,203937,1610612759,74.0,71.0,SAS
67,Davis Bertans,202722,1610612759,70.0,70.0,SAS
68,Dewayne Dedmon,203473,1610612759,74.0,71.0,SAS
69,Pau Gasol,2200,1610612759,84.0,86.0,SAS
70,Manu Ginobili,1938,1610612759,79.0,78.0,SAS
71,Danny Green,201980,1610612759,76.0,76.0,SAS
72,David Lee,101135,1610612759,74.0,76.0,SAS
73,Kawhi Leonard,202695,1610612759,93.0,87.0,SAS
74,Dejounte Murray,1627749,1610612759,70.0,70.0,SAS
75,Tony Parker,2225,1610612759,80.0,83.0,SAS
76,Jonathon Simmons,203613,1610612759,70.0,69.0,SAS
77,Tony Allen,2754,1610612763,78.0,78.0,MEM
78,Vince Carter,1713,1610612763,74.0,73.0,MEM
79,Mike Conley,201144,1610612763,85.0,85.0,MEM
80,Troy Daniels,203584,1610612763,70.0,67.0,MEM
81,Deyonta Davis,1627738,1610612763,69.0,69.0,MEM
82,Marc Gasol,201188,1610612763,85.0,87.0,MEM
83,JaMychal Green,203210,1610612763,73.0,67.0,MEM
84,Andrew Harrison,1626150,1610612763,68.0,68.0,MEM
85,Jarell Martin,1626185,1610612763,69.0,67.0,MEM
86,Chandler Parsons,202718,1610612763,79.0,79.0,MEM
87,Zach Randolph,2216,1610612763,80.0,84.0,MEM
88,Brandan Wright,201148,1610612763,76.0,75.0,MEM
89,Al-Farouq Aminu,202329,1610612757,77.0,73.0,POR
90,Pat Connaughton,1626192,1610612757,69.0,67.0,POR
91,Allen Crabbe,203459,1610612757,75.0,67.0,POR
92,Ed Davis,202334,1610612757,77.0,76.0,POR
93,Festus Ezeli,203105,1610612757,76.0,72.0,POR
94,Maurice Harkless,203090,1610612757,72.0,68.0,POR
95,Jake Layman,1627774,1610612757,68.0,68.0,POR
96,Meyers Leonard,203086,1610612757,72.0,72.0,POR
97,Damian Lillard,203081,1610612757,89.0,86.0,POR
98,CJ McCollum,203468,1610612757,83.0,72.0,POR
99,Shabazz Napier,203894,1610612757,70.0,71.0,POR
100,Jusuf Nurkic,203994,1610612757,75.0,74.0,POR
101,Evan Turner,202323,1610612757,77.0,74.0,POR
102,Noah Vonleh,203943,1610612757,70.0,72.0,POR
103,Alan Anderson,101187,1610612746,69.0,69.0,LAC
104,Brandon Bass,101138,1610612746,74.0,74.0,LAC
105,Jamal Crawford,2037,1610612746,77.0,79.0,LAC
106,Raymond Felton,101109,1610612746,74.0,71.0,LAC
107,Blake Griffin,201933,1610612746,87.0,88.0,LAC
108,Brice Johnson,1627744,1610612746,69.0,69.0,LAC
109,Wesley Johnson,202325,1610612746,73.0,72.0,LAC
110,DeAndre Jordan,201599,1610612746,85.0,84.0,LAC
111,Luc Mbah a Moute,201601,1610612746,73.0,69.0,LAC
112,Chris Paul,101108,1610612746,91.0,90.0,LAC
113,Paul Pierce,1718,1610612746,73.0,78.0,LAC
114,JJ Redick,200755,1610612746,78.0,79.0,LAC
115,Austin Rivers,203085,1610612746,74.0,73.0,LAC
116,Marreese Speights,201578,1610612746,75.0,76.0,LAC
117,Diamond Stone,1627754,1610612746,66.0,66.0,LAC
118,Justin Anderson,1626147,1610612755,72.0,71.0,PHI
119,Jerryd Bayless,201573,1610612755,74.0,72.0,PHI
120,Robert Covington,203496,1610612755,76.0,73.0,PHI
121,Joel Embiid,203954,1610612755,77.0,76.0,PHI
122,Gerald Henderson,201945,1610612755,74.0,74.0,PHI
123,Richaun Holmes,1626158,1610612755,70.0,67.0,PHI
124,Timothe Luwawu-Cabarrot,1627789,1610612755,69.0,69.0,PHI
125,Jahlil Okafor,1626143,1610612755,79.0,77.0,PHI
126,Sergio Rodriguez,200771,1610612755,74.0,74.0,PHI
127,Dario Saric,203967,1610612755,75.0,75.0,PHI
128,Tiago Splitter,201168,1610612755,75.0,76.0,PHI
129,Nik Stauskas,203917,1610612755,69.0,69.0,PHI
130,Ryan Anderson,201583,1610612745,79.0,76.0,HOU
131,Trevor Ariza,2772,1610612745,77.0,75.0,HOU
132,Patrick Beverley,201976,1610612745,76.0,76.0,HOU
133,Clint Capela,203991,1610612745,77.0,70.0,HOU
134,Sam Dekker,1626155,1610612745,70.0,70.0,HOU
135,Eric Gordon,201569,1610612745,77.0,78.0,HOU
136,James Harden,201935,1610612745,90.0,92.0,HOU
137,Montrezl Harrell,1626149,1610612745,70.0,69.0,HOU
138,Chinanu Onuaku,1627778,1610612745,67.0,67.0,HOU
139,Giannis Antetokounmpo,203507,1610612749,83.0,81.0,MIL
140,Michael Beasley,201563,1610612749,75.0,67.0,MIL
141,Malcolm Brogdon,1627763,1610612749,70.0,70.0,MIL
142,Matthew Dellavedova,203521,1610612749,75.0,70.0,MIL
143,Spencer Hawes,201150,1610612749,72.0,71.0,MIL
144,John Henson,203089,1610612749,76.0,74.0,MIL
145,Thon Maker,1627748,1610612749,71.0,71.0,MIL
146,Khris Middleton,203114,1610612749,81.0,78.0,MIL
147,Greg Monroe,202328,1610612749,79.0,82.0,MIL
148,Jabari Parker,203953,1610612749,78.0,77.0,MIL
149,Tony Snell,203503,1610612749,72.0,72.0,MIL
150,Mirza Teletovic,203141,1610612749,76.0,69.0,MIL
151,Jason Terry,1891,1610612749,71.0,71.0,MIL
152,Rashad Vaughn,1626173,1610612749,69.0,69.0,MIL
153,Carmelo Anthony,2546,1610612752,88.0,88.0,NYK
154,Willy Hernangomez,1626195,1610612752,69.0,69.0,NYK
155,Justin Holiday,203200,1610612752,70.0,72.0,NYK
156,Mindaugas Kuzminskas,1627851,1610612752,73.0,73.0,NYK
157,Courtney Lee,201584,1610612752,76.0,75.0,NYK
158,Joakim Noah,201149,1610612752,77.0,79.0,NYK
159,Kyle O'Quinn,203124,1610612752,76.0,72.0,NYK
160,Marshall Plumlee,1627850,1610612752,66.0,66.0,NYK
161,Kristaps Porzingis,204001,1610612752,81.0,74.0,NYK
162,Derrick Rose,201565,1610612752,80.0,82.0,NYK
163,Lance Thomas,202498,1610612752,72.0,70.0,NYK
164,Sasha Vujacic,2756,1610612752,69.0,69.0,NYK
165,Darrell Arthur,201589,1610612743,75.0,71.0,DEN
166,Will Barton,203115,1610612743,78.0,73.0,DEN
167,Malik Beasley,1627736,1610612743,69.0,69.0,DEN
168,Wilson Chandler,201163,1610612743,76.0,77.0,DEN
169,Kenneth Faried,202702,1610612743,80.0,79.0,DEN
170,Danilo Gallinari,201568,1610612743,80.0,76.0,DEN
171,Gary Harris,203914,1610612743,76.0,65.0,DEN
172,Juan Hernangomez,1627823,1610612743,68.0,68.0,DEN
173,Roy Hibbert,201579,1610612743,74.0,77.0,DEN
174,Nikola Jokic,203999,1610612743,79.0,68.0,DEN
175,Mike Miller,2034,1610612743,70.0,68.0,DEN
176,Emmanuel Mudiay,1626144,1610612743,76.0,75.0,DEN
177,Jamal Murray,1627750,1610612743,75.0,75.0,DEN
178,Jameer Nelson,2749,1610612743,72.0,72.0,DEN
179,Mason Plumlee,203486,1610612743,78.0,76.0,DEN
180,Luke Babbitt,202337,1610612748,69.0,70.0,MIA
181,Chris Bosh,2547,1610612748,86.0,84.0,MIA
182,Goran Dragic,201609,1610612748,78.0,81.0,MIA
183,Wayne Ellington,201961,1610612748,72.0,70.0,MIA
184,Udonis Haslem,2617,1610612748,70.0,71.0,MIA
185,James Johnson,201949,1610612748,72.0,75.0,MIA
186,Tyler Johnson,204020,1610612748,75.0,73.0,MIA
187,Josh McRoberts,201177,1610612748,71.0,71.0,MIA
188,Willie Reed,203186,1610612748,70.0,68.0,MIA
189,Josh Richardson,1626196,1610612748,75.0,66.0,MIA
190,Dion Waiters,203079,1610612748,73.0,73.0,MIA
191,Hassan Whiteside,202355,1610612748,85.0,81.0,MIA
192,Justise Winslow,1626159,1610612748,77.0,74.0,MIA
193,Leandro Barbosa,2571,1610612756,73.0,74.0,PHX
194,Dragan Bender,1627733,1610612756,72.0,72.0,PHX
195,Eric Bledsoe,202339,1610612756,85.0,82.0,PHX
196,Devin Booker,1626164,1610612756,78.0,72.0,PHX
197,Tyson Chandler,2199,1610612756,74.0,79.0,PHX
198,Marquese Chriss,1627737,1610612756,71.0,71.0,PHX
